Category,Value,PN,
C,.1u,CL21F104ZBCNNNC,
C,1u,TMK212BJ105KG-T,
C,10u,CL21A106KQCLRNC,
C,47n,C0805C473K5RACTU,
C,4.7u,LMK212BJ475KD-T,
R,2.2K,ESR10EZPJ222,
R,1K,RC0805JR-071KL,
R,1K .5%,RR1220P-102-D,
R,22K,RMCF0805JT22K0,
R,100K,ERJ-6GEYJ104V,
R,10K,C0805JR-0710KL,
R,3M,ERJ-6GEYJ305V,
R,6M,RC0805FR-075M9L,
R,2.2M,RC0805FR-072M2L,
R,10M,RMCF0805FT10M0,
R,330,RMCF0805JT330R,
R,499,RC0805FR-07499RL,
R,4K7,RC0805FR-074K7L,
IND_LED,IND_LED,LTST-C150GKT,
D,D,1N4448W-TP,
M,LB_MOSFET_N,2N7002NCT-ND,"Used Digikey Part # Because MFR_PN = 27002, which is ambiguous when doing Digikey Search"
CONN_01X02,CONN_01X02,OSTVN02A150,
M,TIP120,TIP120,
RED_LED_3W,RED_LED,XPEPHR-L1-0000-00801,
BLUE_LED_3W,BLUE_LED,XTEARY-00-0000-000000K01,
